Map	Speaker	Dialogue
Checkpoint_Event1_Page1	Borislav Zsoldos	Get back into the queue, will you?
Checkpoint_Event2_Page1	Soldier	Stay in line, citizen!
Checkpoint_Event3_Page1	Adjutant	Fuck off!
Checkpoint_Event3_Page3	Atlas	There's nothing left for us to do here.
Checkpoint_Event4_Page1	Vova  Kundakçı	He did what?!
Checkpoint_Event6_Page1	Danilo Sala	This is preposterous!
Checkpoint_Event6_Page1	Danilo Sala	I'm a Trachian citizen, you hear me?
Checkpoint_Event7_Page1	Atlas	We don't have time to stroll around.
Checkpoint_Event8_Page1	Artem Blažek	At this point, I don't even know if I'll ever manage to get in...
Checkpoint_Event10_Page1	Samuil Rybář	What are you looking at?
Checkpoint_Event10_Page1	Atlas	Is Lieutenant Tanner in?
Checkpoint_Event10_Page1	Samuil Rybář	What's it to you?
Checkpoint_Event10_Page1	Atlas	We have some business to discuss with him.
Checkpoint_Event10_Page1	Atlas	He's expecting us.
Checkpoint_Event10_Page1	Samuil Rybář	Yeah?
Checkpoint_Event10_Page1	Samuil Rybář	Not that I would have heard.
Checkpoint_Event10_Page1	Atlas	So?
Checkpoint_Event10_Page1	Atlas	Will you go and fetch him, then?
Checkpoint_Event10_Page1	Samuil Rybář	I'm afraid not.
Checkpoint_Event10_Page1	Atlas	And why's that?
Checkpoint_Event10_Page1	Samuil Rybář	Not allowed to leave my post, unfortunately.
Checkpoint_Event10_Page1	Atlas	So we're free to enter?
Checkpoint_Event10_Page1	Samuil Rybář	Can't let that happen.
Checkpoint_Event10_Page1	Atlas	I'm getting tired of this.
Checkpoint_Event10_Page1	Samuil Rybář	Sorry, I don't make the rules.
Checkpoint_Event10_Page1	Atlas	Are you saying we're supposed to wait for him here until he just happens to stroll by?
Checkpoint_Event10_Page1	Samuil Rybář	Well...
Checkpoint_Event10_Page1	Samuil Rybář	You're not from Trachi, are you?
Checkpoint_Event10_Page1	Atlas	How does that matter?
Checkpoint_Event10_Page1	Samuil Rybář	Well...
Checkpoint_Event10_Page1	Atlas	Get to the point, if you please.
Checkpoint_Event10_Page1	Samuil Rybář	Technically, I could let you in...
Checkpoint_Event10_Page1	Samuil Rybář	But you'd need a visum first.
Checkpoint_Event10_Page1	Daphne	Preposterous!
Checkpoint_Event10_Page1	Atlas	Quiet!
Checkpoint_Event10_Page1	Atlas	Let's say we'd want to acquire one...
Checkpoint_Event10_Page1	Samuil Rybář	Yes?
Checkpoint_Event10_Page1	Atlas	Who do we talk to?
Checkpoint_Event10_Page1	Samuil Rybář	The custom's office.... perhaps?
Checkpoint_Event10_Page1	Samuil Rybář	God, I really have to spell everything out for you, don't I?
Checkpoint_Event10_Page1	Ganymede	You call that spelling?
Checkpoint_Event10_Page1	Ganymede	It's like I'm watching a dog trying to do his taxes!
Checkpoint_Event10_Page1	Atlas	Let's not waste any more time, then.
Checkpoint_Event10_Page1	Atlas	As for you...
Checkpoint_Event10_Page1	Atlas	We'll be back.
Checkpoint_Event10_Page1	Samuil Rybář	Can't wait!
Checkpoint_Event10_Page2	Samuil Rybář	What's wrong?
Checkpoint_Event10_Page2	Samuil Rybář	The custom's office is right over there, for heaven's sake!
Checkpoint_Event10_Page3	Samuil Rybář	Hey, long time no see.
Checkpoint_Event10_Page3	Samuil Rybář	Let me guess...
Checkpoint_Event10_Page3	Samuil Rybář	You've lost your way again, haven't you?
Checkpoint_Event10_Page3	Samuil Rybář	As much as I'd like to personally hold your hand at every step-
Checkpoint_Event10_Page3	Atlas	Shut it.
Checkpoint_Event10_Page3	Atlas	Enough of your bullshit.
Checkpoint_Event10_Page3	Atlas	Now, you listen to me.
Checkpoint_Event10_Page3	Atlas	And listen very carefully.
Checkpoint_Event10_Page3	Atlas	I know Tanner is in there.
Checkpoint_Event10_Page3	Atlas	And I know that he knows we're here.
Checkpoint_Event10_Page3	Atlas	So you either go in there right now and fetch him...
Checkpoint_Event10_Page3	Atlas	Or I swear I'll drag him out here myself!
Checkpoint_Event10_Page3	Samuil Rybář	That's what it always comes down to, eh?
Checkpoint_Event10_Page3	Atlas	Three seconds.
Checkpoint_Event10_Page3	Samuil Rybář	You Ionians are all the same.
Checkpoint_Event10_Page3	Atlas	Two.
Checkpoint_Event10_Page3	Samuil Rybář	But it doesn't matter.
Checkpoint_Event10_Page3	Atlas	One.
Checkpoint_Event10_Page3	Samuil Rybář	He's not here, anyway.
Checkpoint_Event10_Page3	Atlas	Where is he?
Checkpoint_Event10_Page3	Samuil Rybář	Like I would know!
Checkpoint_Event10_Page3	Samuil Rybář	Checking out some place in the forest.
Checkpoint_Event10_Page3	Samuil Rybář	At least so I heard.
Checkpoint_Event10_Page3	Ganymede	And you couldn't tell us that right away, because?
Checkpoint_Event10_Page3	Samuil Rybář	I'm sure you've heard this one before...
Checkpoint_Event10_Page3	Samuil Rybář	But you never asked.
Checkpoint_Event10_Page3	Atlas	We're done here.
Checkpoint_Event10_Page3	Samuil Rybář	My thoughts, exactly.
Checkpoint_Event10_Page3	Daphne	Getting a bit uppity, aren't they?
Checkpoint_Event10_Page3	Ganymede	At the very least we get to see a bit more of the countryside.
Checkpoint_Event10_Page3	Atlas	We're already behind schedule, as it is.
Checkpoint_Event10_Page3	Atlas	But I guess there's no helping it...
Checkpoint_Event10_Page3	Atlas	Let's go.
Checkpoint_Event10_Page4	Samuil Rybář	I've got nothing to say to you.
Checkpoint_Event10_Page5	Samuil Rybář	Look who's back.
Checkpoint_Event10_Page5	Samuil Rybář	You won't believe how much I missed the three of you!
Checkpoint_Event10_Page5	Ganymede	That's rich, coming from someone who literally stands in the same spot the entire day.
Checkpoint_Event10_Page5	Samuil Rybář	You're a funny one!
Checkpoint_Event10_Page5	Samuil Rybář	I thought they'd beat that out of you Shiteonians a long time ago!
Checkpoint_Event10_Page5	Atlas	Enough of that.
Checkpoint_Event10_Page5	Atlas	Is the Lieutenant back?
Checkpoint_Event10_Page5	Samuil Rybář	Yeah, he's expecting you inside.
Checkpoint_Event10_Page5	Ganymede	At last!
Checkpoint_Event10_Page5	Atlas	Let's go.
Checkpoint_Event10_Page5	Atlas	We've wasted more than enough time on idle nonfactors.
Checkpoint_Event10_Page5	Samuil Rybář	I'd watch my back in there, if I were you.
Checkpoint_Event10_Page6	Samuil Rybář	I've got nothing more to say to you.
Checkpoint_Event11_Page1	Doroteja Medved	For god's sake...
Checkpoint_Event11_Page1	Doroteja Medved	What the hell is going on?
Checkpoint_Event11_Page2	Klement Stankić	Almost there...
Checkpoint_Event12_Page1	Bohuslav Adam	This charade gives the worst of bureaucracies a run for their money!
Checkpoint_Event12_Page2	Tamara Sokolov	This charade gives the worst of bureaucracies a run for their money!
Checkpoint_Event13_Page1	Elmas Kadeř	Gah! This can't be happening!
Checkpoint_Event17_Page1	Samuil Rybář	Fuck off!
Checkpoint_Event17_Page3	Atlas	There's nothing left for us to do here.
Checkpoint_Event18_Page1	Sebastian Herceg	What to do...
Checkpoint_Event19_Page1	Atlas	We don't have time to stroll around.
Checkpoint_Event22_Page1	Ganymede	Well, that was awkward!
Checkpoint_Event22_Page1	Daphne	This entire situation get's more ridiculous by the minute.
Checkpoint_Event22_Page1	Atlas	Seems that way.
Checkpoint_Event22_Page1	Atlas	But there's a limit to idiosyncratic tolerance.
Checkpoint_Event22_Page1	Atlas	Let's have another word with that cryptic guardsman.
Checkpoint_Event22_Page3	Ganymede	The world's weirdest custom's office, for sure.
Checkpoint_Event22_Page3	Daphne	Seems much more like an asylum for the mentally deranged to me...
Checkpoint_Event22_Page3	Atlas	I think they're far more apt than we give them credit for.
Checkpoint_Event22_Page3	Atlas	In any case, Tanner should be back by now.
Checkpoint_Event24_Page1	Atlas	North: Trachian Demilitarized Zone East: Ionia
Checkpoint_Event24_Page1	Chrysanthos Pololáník	Can I help you, by any chance?
Checkpoint_Event24_Page1	Atlas	Mind pointing us to the barracks?
Checkpoint_Event24_Page1	Chrysanthos Pololáník	Of course!
Checkpoint_Event24_Page1	Chrysanthos Pololáník	It's right over there.
Checkpoint_Event24_Page1	Atlas	Much obliged.
Checkpoint_Event24_Page2	Chrysanthos Pololáník	Have a nice day!
Checkpoint_Event25_Page1	Iosif Cermak	Please calm down, sir.
Checkpoint_Event26_Page1	Mariyka Georgiou	I know, right!?
Checkpoint_Event26_Page1	Mariyka Georgiou	He just left me here and went on his own.
Checkpoint_Event27_Page1	Soldier	Get back into the queue, will you?
Checkpoint_Event30_Page1	Emiliyan Souček	Absolutely fascinating.
Checkpoint_Event30_Page1	Emiliyan Souček	See that crowd?
Checkpoint_Event30_Page1	Emiliyan Souček	Herd mentality at it's finest!
Checkpoint_Event30_Page2	Emiliyan Souček	All it needs is a little spark to light the fire.
Checkpoint_Event31_Page1	Luka Horvat	Move along.
Checkpoint_Event33_Page1	Konstantin Buchvarov	There might be a thunderstorm later.
Checkpoint_Event33_Page1	Konstantin Buchvarov	If I don't get my stuff to a sheltered place, it's all going to be ruined!
